CODI_EIXOS,M_CODI_EIXOS,BCN1,BCN2,BCN3,NOM,CARRCADAST,DOORNUM,CBARRI,NBARRI,CDISTRI,NDISTRIC,RCNUMBER,DATAINICI,ULTIMA_VISITA,X,Y,X_ED50,Y_ED50
movi,serv,SERVEIS,ALTRES,ALTRES,Orange,"AV DIAGONAL",89,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3644423DF3834D,2012-05-16,31/03/2014,433707,4584527,"433707,7","4584527,7"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",89,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3644423DF3834D,2012-05-16,31/03/2014,433701,4584524,"433701,1","4584524,4"
inmo,serv,SERVEIS,SERVEIS,"ACTIVITATS IMMOBILIÀRIES","La Llave de oro","AV DIAGONAL",91,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3644426DF3834D,2012-05-16,31/03/2014,433678,4584520,"433678,8",4584520
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",91,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3644426DF3834D,2012-05-16,31/03/2014,433664,4584515,"433664,4","4584515,5"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",93,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3644426DF3834D,2012-05-16,31/03/2014,433649,4584511,"433649,9","4584511,1"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",97,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3644427DF3834D,2012-05-16,31/03/2014,433633,4584508,"433633,3","4584508,8"
ofic,serv,SERVEIS,SERVEIS,ALTRES,Pue,"AV DIAGONAL",98,71,"Provençals del Poblenou",10,"Sant Martí",3746123DF3834F,2012-05-16,31/03/2014,433735,4584596,"433735,5","4584596,6"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",99,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3644427DF3834D,2012-05-16,31/03/2014,433622,4584505,"433622,2","4584505,5"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",99,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3644427DF3834D,2012-05-16,31/03/2014,433614,4584503,"433614,4","4584503,3"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",99,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3644427DF3834D,2012-05-16,31/03/2014,433601,4584499,"433601,1","4584499,9"
