N_EXPEDIENT,DISTRICTE,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,LONGITUD_X,LATITUD_Y
01-2013-0753,CIUTAT VELLA,el Raval,CARRER,HOSPITAL,1,25,,,,,,,1,2,2.172227285,41.38088335
02-2014-0566,L'EIXAMPLE,la Sagrada Família,AVINGUDA,GAUDI,1,51,,53,,,,,EN,1,2.174215606,41.40844312
02-2014-0207,L'EIXAMPLE,la Dreta de l'Eixample,PLAÇA,TETUAN,1,33,,,,,,,SA,2,2.176060643,41.3956364
01-2014-0073,CIUTAT VELLA,el Raval,CARRER,JUNTA DE COMERÇ,1,23,,,,,,,2,1A,2.171889963,41.37944639
02-2014-1125,L'EIXAMPLE,la Dreta de l'Eixample,GRAN VIA,CORTS CATALANES,2,682,,,,,,,2,1,2.173056644,41.39268474
02-2014-0241,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,ENRIC GRANADOS,1,125,,,,,,,2,1,2.154581424,41.39355709
02-2014-0227,L'EIXAMPLE,Sant Antoni,CARRER,CALABRIA,1,5,,,,,,,1,,2.160461011,41.37544945
02-2014-0228,L'EIXAMPLE,Sant Antoni,CARRER,CALABRIA,1,5,,,,,,,AT,,2.160461011,41.37544945
04-2013-0191,LES CORTS,les Corts,AVINGUDA,JOSEP TARRADELLAS,1,147,,,,,,,6,2,2.143489878,41.39109449
02-2013-0972,L'EIXAMPLE,Sant Antoni,CARRER,COMTE BORRELL,1,37,,,,,,,EN,4,2.163369613,41.37666084
02-2013-0975,L'EIXAMPLE,la Dreta de l'Eixample,PASSEIG,GRACIA,1,3,,,,,,,5,2,2.169270627,41.38821806
06-2013-0312,GRACIA,la Vila de Gràcia,CARRER,MASSENS,1,23,,,,,,,BJ,,2.157429153,41.40739517
06-2013-0313,GRACIA,la Vila de Gràcia,CARRER,MASSENS,1,23,,,,,,,1,1,2.157429153,41.40739517
06-2013-0315,GRACIA,la Vila de Gràcia,CARRER,MASSENS,1,23,,,,,,,2,1,2.157429153,41.40739517
06-2013-0316,GRACIA,la Vila de Gràcia,CARRER,MASSENS,1,23,,,,,,,2,2,2.157429153,41.40739517
02-2013-0998,L'EIXAMPLE,la Nova Esquerra de l'Eixample,CARRER,CALABRIA,2,120,,,,,,,4,2,2.153717126,41.38082045
06-2013-0314,GRACIA,la Vila de Gràcia,CARRER,MASSENS,1,23,,,,,,,1,2,2.157429153,41.40739517
02-2013-1086,L'EIXAMPLE,Sant Antoni,CARRER,MUNTANER,1,7,,,,,,,3,1,2.162910139,41.38384194
02-2013-1087,L'EIXAMPLE,Sant Antoni,CARRER,MUNTANER,1,7,,,,,,,3,2A,2.162910139,41.38384194
03-2013-0335,SANTS-MONTJUÏC,el Poble Sec,CARRER,CREU DELS MOLERS,2,76,,,,,,,3,,2.160871968,41.3717224
02-2013-1043,L'EIXAMPLE,la Nova Esquerra de l'Eixample,CARRER,CORSEGA,1,77,,,,,,,5,4,2.144484744,41.38546396
10-2013-0384,SANT MARTI,el Poblenou,CARRER,PUJADES,2,238,,,,,,,BJ,I2,2.20348983,41.40366453
06-2013-0323,GRACIA,el Camp d'en Grassot i Gràcia Nova,CARRER,BAILEN,2,212,,,,,,B,EN,4,2.163848547,41.40218313
06-2013-0324,GRACIA,el Camp d'en Grassot i Gràcia Nova,TRAVESSERA,GRACIA,2,274,,,,,,A,1,1,2.166284384,41.40651813
10-2013-0418,SANT MARTI,el Camp de l'Arpa del Clot,CARRER,INDEPENDENCIA,2,258,,,,,,,1,2,2.184212281,41.40729046
03-2013-0324,SANTS-MONTJUÏC,el Poble Sec,CARRER,PIQUER,1,15,,,,,,,3,1,2.170562598,41.37274951
02-2013-0987,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,COMTE D'URGELL,2,74,,,,,,,2,1,2.158058492,41.38272025
07-2013-0155,HORTA-GUINARDÓ,Sant Genís dels Agudells,CARRER,BALDOMER GIRONA,2,16,,,,,,,BJ,,2.13572759,41.42802081
02-2013-0994,L'EIXAMPLE,Sant Antoni,CARRER,SEPULVEDA,2,156,,160,,,,,6,2,2.161439669,41.38226052
