N_EXPEDIENT,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA
01-2011-0192,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,MERCADERS,1,5,,,,,,,05,
01-2011-0193,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,01,1
01-2011-0196,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,02,2
01-2011-0255,01,CIUTAT VELLA,03,la Barceloneta,Carrer,SANT MIQUEL,1,61,,,,,,,1,
01-2012-0185,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,01,1
01-2012-0193,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,03,3
01-2012-0209,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,EN,2
01-2012-0317,01,CIUTAT VELLA,02,el Barri Gòtic,Passeig,COLOM,2,2,,,,,,,04,B
01-2012-0629,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,CARDERS,1,23,,,,,,,01,2
01-2012-0637,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,MERCADERS,1,5,,,,,,,EN,
01-2012-0673,01,CIUTAT VELLA,02,el Barri Gòtic,Passatge,DORMITORI DE SANT FRANCESC,2,2,,,,,,,04,1
01-2013-0011,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,VIDRE,1,7,,,,,,,3,4
01-2013-0029,01,CIUTAT VELLA,01,el Raval,Carrer,CARRETES,1,1,,,,,,,02,1
01-2013-0071,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,DAGUERIA,1,3,,,,,,,EN,
01-2013-0073,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,DAGUERIA,1,3,,,,,,,02,
01-2013-0105,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,VIDRE,1,7,,,,,,,PR,1
01-2013-0106,01,CIUTAT VELLA,02,el Barri Gòtic,Plaça,REIAL,1,3,,,,,,,2,1
01-2013-0117,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,NOU DE SANT FRANCESC,1,7,,,,,,,03,2
01-2013-0147,01,CIUTAT VELLA,01,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,EN,1
01-2013-0153,01,CIUTAT VELLA,01,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,4,1
01-2013-0215,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,CORDERS,1,1,,,,,,,4,
01-2013-0218,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,CORDERS,1,1,,,,,,,1,
01-2013-0244,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,ARGENTERIA,2,6,,,,,,,EN,4
01-2013-0253,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,ARGENTERIA,2,6,,,,,,,02,3
01-2013-0269,01,CIUTAT VELLA,01,el Raval,Carrer,TALLERS,2,28,,,,,,,03,2
01-2013-0288,01,CIUTAT VELLA,02,el Barri Gòtic,Plaça,JOAQUIM XIRAU I PALAU,1,1,,,,,,,4,
01-2013-0303,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,SANT ANTONI DELS SOMBRERERS,2,4,,,,,,,01,1
01-2013-0394,01,CIUTAT VELLA,03,la Barceloneta,Carrer,MEER,2,34,,,,,,,02,
01-2013-0425,01,CIUTAT VELLA,01,el Raval,Carrer,CARME,2,10,,,,,,,PR,3
