Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Renda_Bruta_€
2022,1,Ciutat Vella,1,el Raval,1,15762
2022,1,Ciutat Vella,1,el Raval,2,12735
2022,1,Ciutat Vella,1,el Raval,3,11754
2022,1,Ciutat Vella,1,el Raval,4,14967
2022,1,Ciutat Vella,1,el Raval,5,12207
2022,1,Ciutat Vella,1,el Raval,6,13500
2022,1,Ciutat Vella,1,el Raval,7,12349
2022,1,Ciutat Vella,1,el Raval,8,9541
2022,1,Ciutat Vella,1,el Raval,9,12923
2022,1,Ciutat Vella,1,el Raval,10,10751
2022,1,Ciutat Vella,1,el Raval,11,10605
2022,1,Ciutat Vella,1,el Raval,12,13750
2022,1,Ciutat Vella,1,el Raval,13,13729
2022,1,Ciutat Vella,1,el Raval,14,12924
2022,1,Ciutat Vella,1,el Raval,15,13620
2022,1,Ciutat Vella,1,el Raval,16,13039
2022,1,Ciutat Vella,1,el Raval,17,10951
2022,1,Ciutat Vella,1,el Raval,18,12703
2022,1,Ciutat Vella,1,el Raval,19,12843
2022,1,Ciutat Vella,1,el Raval,20,18962
2022,1,Ciutat Vella,1,el Raval,21,19301
2022,1,Ciutat Vella,2,el Barri Gòtic,22,25890
2022,1,Ciutat Vella,2,el Barri Gòtic,23,20271
2022,1,Ciutat Vella,2,el Barri Gòtic,25,19248
2022,1,Ciutat Vella,2,el Barri Gòtic,26,20171
2022,1,Ciutat Vella,2,el Barri Gòtic,27,17177
2022,1,Ciutat Vella,2,el Barri Gòtic,28,19047
2022,1,Ciutat Vella,2,el Barri Gòtic,29,15721
2022,1,Ciutat Vella,2,el Barri Gòtic,30,15487
2022,1,Ciutat Vella,2,el Barri Gòtic,31,15210
2022,1,Ciutat Vella,3,la Barceloneta,32,19393
2022,1,Ciutat Vella,3,la Barceloneta,33,16291
2022,1,Ciutat Vella,3,la Barceloneta,34,16552
2022,1,Ciutat Vella,3,la Barceloneta,35,16793
2022,1,Ciutat Vella,3,la Barceloneta,36,17266
2022,1,Ciutat Vella,3,la Barceloneta,37,18007
2022,1,Ciutat Vella,3,la Barceloneta,38,15309
2022,1,Ciutat Vella,3,la Barceloneta,39,17245
2022,1,Ciutat Vella,3,la Barceloneta,40,18883
2022,1,Ciutat Vella,3,la Barceloneta,41,16298
2022,1,Ciutat Vella,3,la Barceloneta,42,18139
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,26174
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,20724
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,19579
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,18081
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,19871
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,14160
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,18511
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,17232
