cod_barrio;delta_alquiler;delta_extranjeros;delta_vuts;puntos_riesgo;riesgo_gentrificacion
1;13,928571428571438;5,516779432044351;19,553072625698324;1;0
2;19,237749546279495;28,060239270203667;4,081632653061225;1;0
3;13,44165435745937;19,615184580191908;46,96969696969697;1;0
4;16,13976705490849;12,792701733924902;0,0;0;0
5;22,666666666666675;38,963873852846966;5,13595166163142;2;1
6;21,897810218978105;28,905425999302498;-2,340702210663199;1;0
7;19,175627240143374;31,936521514378047;-0,3592814371257485;2;1
8;19,217081850533802;27,80452740282233;-4,096045197740112;1;0
9;20,143884892086323;22,303741460137775;36,17021276595745;2;1
10;20,6831119544592;20,798711507635268;-3,5653650254668934;1;0
11;0,0;14,201051677048337;0,9671179883945842;0;0
12;0,0;86,31423964102922;0,0;1;0
13;20,56737588652483;24,321007858092944;-14,285714285714285;1;0
14;30,161943319838052;27,797209695504225;79,45205479452055;2;1
15;16,820702402957487;19,087382491685187;0,0;0;0
16;71,340206185567;28,093543736193954;-31,818181818181817;1;0
17;20,537428023032618;24,621524942257402;-8,49056603773585;1;0
18;20,571428571428566;41,505976977617195;-1,2244897959183674;2;1
19;15,878378378378363;32,734890542763814;0,4784688995215311;1;0
20;16,206261510128922;36,183767581228274;4,3478260869565215;1;0
21;11,464968152866247;12,673981474633392;0,0;0;0
22;17,18426501035196;14,613710869240817;0,0;0;0
23;14,1193595342067;23,288294030507245;14,814814814814813;1;0
24;18,112633181126316;28,380039331366763;-2,857142857142857;0;0
25;11,024844720496885;36,54487775268489;112,5;2;1
26;24,493243243243242;28,808547426610954;20,081967213114755;2;1
27;18,49315068493149;28,55082919131125;29,03225806451613;2;1
28;24,125230202578287;28,68192484685948;-2,5;1;0
29;18,442622950819658;27,658040351838803;0,0;1;0
30;20,898437499999993;26,340863696339124;0,0;1;0
31;19,863013698630137;25,3920230431687;1,4608233731739706;1;0
32;20,577617328519878;40,81338479719804;-1,3215859030837005;2;1
33;22,529644268774717;28,465547750800162;-21,69811320754717;1;0
34;24,32989690721649;35,01830637803463;0,0;2;1
35;24,016563146997935;27,156862135305417;5,714285714285714;1;0
36;28,630705394190866;34,34972060682492;0,0;2;1
37;19,38325991189428;36,39335134727653;-3,0303030303030303;2;1
38;20,910973084886134;35,94877500540136;-33,33333333333333;2;1
39;24,289405684754517;37,655742145178756;0,0;2;1
40;25,22727272727273;41,65956172424861;0,0;2;1
41;20,934959349593488;24,196561527006903;0,0;1;0
42;0,0;15,80891957454749;0,0;0;0
43;17,970401691331926;61,09066273798584;0,0;1;0
44;18,398268398268396;27,87185490023183;88,88888888888889;2;1
45;18,38074398249451;49,88022910548536;500,0;3;1
46;11,504424778761052;19,481763400013428;0,0;0;0
47;0,0;12,04762765885305;0,0;0;0
48;21,641791044776106;37,34971206021665;0,0;2;1
49;13,456464379947233;59,46842003694205;0,0;1;0
50;22,717149220489986;26,824104487329;0,0;1;0
51;26,60944206008583;28,897738848188016;0,0;1;0
52;19,148936170212767;25,249401932494404;0,0;1;0
53;12,13389121338913;22,391268562253988;0,0;0;0
54;-13,88888888888889;18,935252528279616;0,0;0;0
55;19,197707736389695;11,473173291355101;0,0;1;0
56;0,0;40,02417943304641;0,0;1;0
57;25,749999999999996;10,420332298204949;25,0;2;1
58;0,0;29,912408783653245;0,0;1;0
59;3,4642032332563515;64,85007143913816;100,0;2;1
60;0,0;28,76065077420067;13,793103448275861;1;0
61;22,947368421052627;30,379919395072978;0,0;2;1
62;19,077568134171894;24,949783638245435;0,0;1;0
63;20,374220374220368;17,514358205361038;29,411764705882355;2;1
64;21,689059500959686;25,920430966513802;9,363295880149813;1;0
65;22,90836653386454;24,07157963928749;5,88235294117647;1;0
66;23,571428571428577;20,613564538476815;-0,9708737864077669;1;0
67;21,216617210682486;27,4656023348821;-4,504504504504505;1;0
68;23,143350604490497;28,806405394464925;10,152284263959391;1;0
69;18,210361067503918;21,915270740610925;-2,3255813953488373;0;0
70;15,068493150684937;37,263564022184724;0,0;1;0
71;19,378427787934175;31,850408674448076;-15,384615384615385;2;1
72;17,570498915401302;30,9806494319861;-6,666666666666667;1;0
73;40,807174887892366;36,362299392397006;0,0;2;1
